pl_bmasse,hostname,st_teff,st_metratio,st_spectype,st_mass,st_logg,0
169.71,HAT-P-17,5246.0,[Fe/H],K,0.86,4.52,1
170.032,CoRoT-16,5650.0,[M/H],G5 V,1.1,4.36,1
171.0,HD 181433,4962.0,[Fe/H],K3 IV,0.78,4.37,1
174.8,Kepler-41,5620.0,[Fe/H],G6 V,1.12,4.47,1
175.12433,WASP-15,6300.0,[Fe/H],F7,1.18,4.35,1
176.07,WASP-80,4145.0,[Fe/H],K7 V,0.57,4.69,1
177.98,Kepler-41,5750.0,[Fe/H],G2 V,1.15,4.28,1
177.98,WASP-88,6431.0,[Fe/H],F6,1.45,3.96,1
177.9848,WASP-22,6000.0,[Fe/H],G1 V,1.1,4.37,1
178.30263,WASP-169,6110.0,[Fe/H],F8,1.34,3.96,1
180.202,HAT-P-25,5500.0,[Fe/H],G5,1.01,4.48,1
181.16219,HD 161178,4786.0,[Fe/H],G9 III,1.06,2.38,1
181.1631,HIP 14810,5485.0,[Fe/H],G5 V,0.99,4.22,1
181.1631,WASP-184,6000.0,[Fe/H],G0 V,1.23,4.09,1
182.43442,WASP-157,5838.0,[Fe/H],G2 V,1.26,4.5,1
184.02357,K2-30,5425.0,[Fe/H],G6 V,0.9,4.54,1
184.33,HD 44219,5752.0,[Fe/H],G2 V,1.0,4.21,1
187.20187,K2-30,5575.0,[Fe/H],G,0.92,4.6,1
189.101,Kepler-423,5560.0,[M/H],G4 V,0.85,4.41,1
190.69,HD 43197,5508.0,[Fe/H],G8 V,0.96,4.31,1
190.698,WASP-124,6050.0,[Fe/H],F9,1.07,4.44,1
193.87,HD 175541,5060.0,[Fe/H],G8 IV,1.65,3.52,1
194.82979,HATS-25,5715.0,[Fe/H],G,0.99,4.35,1
197.046,HD 103720,5017.0,[Fe/H],K3 V,0.79,4.43,1
197.05,HD 27894,4875.0,[Fe/H],K2 V,0.8,4.22,1
197.05,HD 330075,5017.0,[Fe/H],K1,0.7,4.22,1
198.00809,K2-30,5581.0,[Fe/H],G8 V,0.98,4.48,1
198.953,HAT-P-28,5680.0,[Fe/H],G3,1.02,4.36,1
200.0,HD 34445,5836.0,[Fe/H],G0 V,1.07,4.21,1
200.22,Kepler-74,6000.0,[Fe/H],F8 V,1.18,4.44,1
200.2319,TOI-1670,6170.0,[Fe/H],F7 V,1.21,4.29,2
200.2329,WASP-90,6430.0,[Fe/H],F6,1.55,4.03,1
203.0,HD 181433,4962.0,[Fe/H],K3 IV,0.78,4.37,1
203.4,GJ 832,3657.0,[Fe/H],M1.5,0.45,4.7,1
203.4,HD 63765,5432.0,[Fe/H],G9 V,0.86,4.42,1
203.41018,HD 105779,5792.0,[Fe/H],G2,0.89,4.36,1
203.41018,HD 79181,4862.0,[Fe/H],G8 III,1.28,2.45,1
206.5895,HATS-26,6071.0,[Fe/H],F,1.3,3.94,1
207.54299,HATS-29,5670.0,[Fe/H],G,1.03,4.39,1
209.0915,HD 45364,5434.0,[Fe/H],K0 V,0.82,4.38,1
209.7678,HD 141399,5600.0,[Fe/H],K0,1.07,4.28,1
209.7678,TOI-1899,3841.0,[Fe/H],M0,0.63,4.67,2
211.99155,NGTS-16,5550.0,[Fe/H],G7 V,1.0,4.35,1
213.573,WASP-57,5600.0,[Fe/H],G6,0.95,4.57,1
213.58176,HATS-28,5498.0,[Fe/H],G,0.93,4.48,1
215.80657,KELT-10,5948.0,[Fe/H],G0 V,1.11,4.32,1
216.12,Kepler-74,6050.0,[Fe/H],F8 V,1.4,4.2,1
220.565,WASP-84,5314.0,[Fe/H],K0,0.84,4.4,1
222.472,HD 9446,5793.0,[Fe/H],G5 V,1.0,4.53,1
222.47988,TOI-1789,5991.0,[Fe/H],F,1.51,3.94,2
225.34147,XO-7,6250.0,[Fe/H],G0 V,1.41,4.25,1
225.65,HD 113538,4685.0,[Fe/H],K9 V,0.7,4.28,1
225.65,HD 224693,6037.0,[Fe/H],G2 IV,1.33,4.38,1
228.83645,BD+55 362,5012.0,[Fe/H],K3,0.91,4.09,1
230.10892,HAT-P-68,4508.0,[Fe/H],K,0.68,4.62,1
232.01,HD 159868,5558.0,[Fe/H],G5 V,1.09,3.99,1
233.92288,Qatar-10,6124.0,[Fe/H],F7 V,1.16,4.3,1
235.18,HD 156411,5900.0,[Fe/H],F8 IV/V,1.25,4.07,1
235.1942,NGTS-2,6478.0,[Fe/H],F5 V,1.64,4.2,1
238.37131,HD 124330,5873.0,[Fe/H],G4 IV,1.15,4.24,1
238.37131,HD 155193,6239.0,[Fe/H],F8 IV,1.22,4.26,1
238.37131,HD 360,4770.0,[Fe/H],G8 III,1.69,2.59,1
238.68913,NGTS-15,5600.0,[Fe/H],G6 V,0.99,4.4,1
242.8209,NGTS-17,5650.0,[Fe/H],G4 V,1.02,4.0,1
244.72,HD 109246,5844.0,[Fe/H],G0 V,1.01,4.46,1
244.72,HD 163607,5543.0,[Fe/H],G5 IV,1.09,4.04,1
247.90616,HD 219139,4831.0,[Fe/H],G5 III,1.46,2.48,1
248.86089,HAT-P-66,6002.0,[Fe/H],G0,1.25,3.99,1
249.17872,HIP 65407,5460.0,[Fe/H],K0,0.93,4.47,1
251.40353,TOI-169,5880.0,[Fe/H],G1 V,1.15,4.28,2
254.264,WASP-187,6150.0,[Fe/H],F,1.54,3.72,1
255.85315,WASP-92,6280.0,[Fe/H],F7,1.19,4.26,1
258.07796,NGTS-1,3916.0,[M/H],M0.5,0.62,4.71,1
260.61,GJ 179,3370.0,[Fe/H],M3.5 V,0.36,4.83,1
261.0,HD 155358,5900.0,[Fe/H],G0,0.92,4.16,1
266.9772,CoRoT-31,5700.0,[Fe/H],G2 IV,1.25,3.85,1
266.9772,K2-107,6030.0,[Fe/H],F9 IV,1.3,4.07,1
266.9772,WASP-142,6010.0,[Fe/H],F8,1.33,4.13,1
270.0,HD 155358,5900.0,[Fe/H],G0,0.92,4.16,1
270.1555,CoRoT-29,5260.0,[Fe/H],K0 V,0.97,4.3,1
270.1555,HATS-11,6060.0,[Fe/H],G0,1.0,4.12,1
271.098,HAT-P-13,5653.0,[Fe/H],G4,1.22,4.13,1
271.74465,WASP-176,5941.0,[Fe/H],F9,1.34,4.0,1
273.3338,K2-238,5630.0,[Fe/H],G2 V,1.19,4.11,1
274.276,WASP-59,4650.0,[Fe/H],K5 V,0.72,4.72,1
274.91,HD 13908,6255.0,[Fe/H],F8 V,1.29,4.11,1
275.55861,KELT-8,5754.0,[Fe/H],G2 V,1.21,4.08,1
276.5121,HD 17674,5904.0,[Fe/H],G0 V,0.98,4.34,1
276.5121,WASP-44,5420.0,[Fe/H],G8 V,0.94,4.49,1
279.68,Kepler-91,4550.0,[Fe/H],K3,1.31,2.95,1
282.8687,HD 128356,4875.0,[Fe/H],K3 V,0.65,4.52,1
285.717,WASP-28,6084.0,[Fe/H],F8,1.01,4.34,1
286.047,XO-1,5750.0,[Fe/H],G1 V,1.0,4.43,1
288.26,WASP-28,6150.0,[Fe/H],F8,1.02,4.37,1
289.2253,24 Boo,4893.0,[Fe/H],G3 IV,0.99,2.42,1
289.2253,BD+48 738,4414.0,[Fe/H],K0 III,0.74,2.24,1
291.438,HD 285507,4503.0,[Fe/H],K4.5 V,0.73,4.67,1
292.39,HD 86226,5903.0,[Fe/H],G2 V,1.06,4.36,1
295.57,HD 113538,4462.0,[Fe/H],K9 V,0.58,3.79,1
295.58042,K2-140,5585.0,[Fe/H],G6 V,0.96,4.4,1
295.5819,NGTS-8,5241.0,[Fe/H],K0 V,0.89,4.41,1
298.43,Kepler-412,5750.0,[Fe/H],G3 V,1.17,4.3,1
298.75,HD 10647,6218.0,[Fe/H],F9 V,1.11,4.62,1
301.9385,TOI-892,6261.0,[Fe/H],F,1.28,4.26,2
301.9385,WASP-74,5970.0,[Fe/H],F9,1.48,4.18,1
308.29355,HD 99283,4886.0,[Fe/H],K0 III,1.76,2.57,1
308.2951,K2-99,5990.0,[Fe/H],G0 IV,1.6,3.67,1
308.2951,Kepler-539,5820.0,[Fe/H],G2 V,1.05,4.5,1
309.56642,TOI-1130,4250.0,[Fe/H],K7,0.68,4.6,2
310.0,HD 1605,4757.0,[Fe/H],K1 IV,1.31,3.4,1
310.83618,TOI-2202,5144.0,[Fe/H],K8 V,0.82,4.55,2
311.46,HD 45350,5616.0,[Fe/H],G5 V,1.02,4.32,1
311.4734,WASP-185,5900.0,[Fe/H],G0 V,1.12,4.13,1
314.6517,WASP-175,6229.0,[Fe/H],F7,1.21,4.36,1
317.82,Kepler-44,5800.0,[Fe/H],G2 IV,1.12,4.22,1
317.83,HD 219415,4820.0,[Fe/H],K0 III,1.0,3.51,1
317.83,WASP-190,6400.0,[Fe/H],F6 IV-V,1.35,4.17,1
323.86877,K2-140,5654.0,[Fe/H],G5,1.0,4.45,1
324.17,Kepler-44,5757.0,[Fe/H],G2 IV,1.19,4.15,1
324.1866,gam Lib,4822.0,[Fe/H],K0 III,1.47,2.47,1
327.35,CoRoT-1,5950.0,[M/H],G0 V,0.95,4.25,1
327.35,HD 60532,6095.0,[Fe/H],F6 IV,1.44,3.83,1
336.89,HAT-P-5,5960.0,[Fe/H],G,1.16,4.37,1
336.89,HD 220689,5921.0,[Fe/H],G3 V,1.04,4.32,1
339.428,HIP 91258,5519.0,[Fe/H],G5 V,0.95,4.53,1
340.382,HATS-3,6351.0,[Fe/H],F,1.21,4.22,1
343.24,HD 231701,6208.0,[Fe/H],F8 V,1.14,4.33,1
344.52772,WASP-171,5965.0,[Fe/H],G0,1.17,4.08,1
346.4347,KPS-1,5165.0,[Fe/H],K1 V,0.89,4.47,1
350.0,HD 73534,5041.0,[Fe/H],G5 IV,1.23,3.78,1
352.78,BD+15 2940,4796.0,[Fe/H],K0,1.1,2.8,1
352.78,CoRoT-19,6090.0,[Fe/H],F9 V,1.21,4.07,1
352.7913,HD 9174,5577.0,[Fe/H],G8 IV,1.03,4.03,1
355.9696,WTS-2,5000.0,[Fe/H],K2 V,0.82,4.6,1
359.13,HD 159243,6123.0,[Fe/H],G0 V,1.12,4.55,1
359.13,WASP-95,5630.0,[Fe/H],G2,1.11,4.38,1
365.49,HD 5319,4958.0,[Fe/H],K3 IV,1.51,3.45,1
365.49,HD 75784,4917.0,[Fe/H],K3 IV,1.41,3.56,1
365.5045,XO-5,5510.0,[Fe/H],G8 V,1.0,4.52,1
368.6828,WASP-133,5700.0,[Fe/H],G4,1.16,4.18,1
375.0394,HD 141399,5600.0,[Fe/H],K0,1.07,4.28,1
375.0394,TOI-157,5404.0,[Fe/H],G9 IV,0.95,4.28,2
375.99289,WASP-121,6459.0,[Fe/H],F6 V,1.35,4.24,1
378.2177,Qatar-9,4309.0,[Fe/H],K5 V,0.72,4.61,1
381.396,TOI-837,6047.0,[Fe/H[,G0/F9 V,1.12,4.47,2
384.5743,HD 143105,6380.0,[Fe/H],F5,1.51,4.37,1
387.7526,TOI-163,6495.0,[Fe/H],F,1.44,4.19,2
390.9309,WASP-119,5650.0,[Fe/H],G5,1.02,4.26,1
390.9309,WASP-130,5625.0,[Fe/H],G6,1.04,4.49,1
392.83788,K2-237,6099.0,[Fe/H],F9 V,1.23,4.27,1
392.83788,TOI-677,6295.0,[Fe/H],F8,1.18,4.29,2
394.1092,WASP-82,6490.0,[Fe/H],F5,1.63,3.97,1
397.2875,WASP-4,5500.0,[Fe/H],G8,0.93,4.5,1
403.63,Kepler-428,5150.0,[Fe/H],K1 V,0.87,4.57,1
406.8224,HIP 14810,5485.0,[Fe/H],G5 V,0.99,4.22,1
406.8224,KELT-7,6789.0,[Fe/H],F,1.53,4.15,1
408.09372,KELT-14,5720.0,[Fe/H],G4,1.24,4.17,1
410.0007,K2-113,5627.0,[Fe/H],G,1.01,4.4,1
413.179,WASP-174,6400.0,[Fe/H],F6 V,1.3,4.32,1
415.704,CoRoT-13,5945.0,[Fe/H],G0 V,1.09,4.46,1
416.34,HAT-P-17,5246.0,[Fe/H],K,0.86,4.52,1
416.3573,KELT-17,7454.0,[Fe/H],A,1.64,4.22,1
419.52,WASP-97,5640.0,[Fe/H],G5,1.12,4.43,1
420.471,HATS-4,5403.0,[Fe/H],G,1.0,4.51,1
422.7139,HD 141399,5600.0,[Fe/H],K0,1.07,4.28,1
425.25654,HATS-17,5846.0,[Fe/H],G V,1.13,4.42,1
425.89007,gam Psc,4742.0,[Fe/H],G7 III,0.99,2.33,1
425.8922,WASP-91,4920.0,[Fe/H],K3,0.84,4.3,1
427.463,HATS-2,5227.0,[Fe/H],K,0.88,4.48,1
429.05,HIP 67851,4805.0,[Fe/H],K0 III,1.3,3.04,1
432.24663,BD+45 564,5004.0,[Fe/H],K1,0.81,4.22,1
432.2488,HD 149143,5730.0,[Fe/H],G0,1.1,4.1,1
435.41,Kepler-447,5493.0,[Fe/H],G8 V,1.0,4.4,1
436.362,HD 30562,5994.0,[Fe/H],F8 V,1.23,4.34,1
438.6054,HIP 67851,4890.0,[Fe/H],K0 III,1.63,3.15,1
444.962,HD 208897,4860.0,[Fe/H],K0,1.25,3.13,1
451.3186,K2-260,6367.0,[Fe/H],F6 V,1.39,4.15,1
457.66,HIP 67851,4890.0,[Fe/H],K0 III,1.63,3.15,1
457.67291,HD 103891,6072.0,[Fe/H],F9,1.28,3.79,1
460.8,HD 220773,5940.0,[Fe/H],F9,1.16,4.24,1
460.83,HD 27631,5737.0,[Fe/H],G3 IV-V,0.94,4.48,1
460.8535,HD 50499,6099.0,[Fe/H],G1 V,1.31,4.42,1
467.19,BD+14 4559,5008.0,[Fe/H],K2 V,0.86,4.6,1
467.19,HD 216536,4639.0,[Fe/H],K0,1.36,2.36,1
467.2101,HATS-23,5780.0,[Fe/H],G V,1.12,4.33,1
467.2101,HD 48265,5650.0,[Fe/H],G5 IV/V,1.28,3.92,1
467.2101,WASP-93,6700.0,[Fe/H],F4,1.33,4.2,1
473.547,WASP-103,6110.0,[Fe/H],F8 V,1.22,4.22,1
476.74261,HD 331093,5544.0,[Fe/H],K0,1.03,4.2,1
476.745,8 UMi,4847.4,[Fe/H],K0,1.8,2.57,1
486.2799,TOI-481,5735.0,[Fe/H],G,1.14,4.06,2
489.44,NGC 2682 Sand 364,4284.0,[Fe/H],K3 III,1.35,2.2,1
491.3763,WASP-72,6250.0,[Fe/H],F7,1.39,3.99,1
492.62,WASP-65,5600.0,[Fe/H],G6,0.93,4.4,1
494.22565,WASP-5,5700.0,[Fe/H],G5,1.0,4.5,1
495.8148,HD 222076,4806.0,[Fe/H],K0 III,1.07,3.31,1
495.8148,HIP 109384,5180.0,[Fe/H],G5,0.78,4.43,1
498.9906,HD 29399,4845.0,[Fe/H],K1 III,1.17,3.25,1
502.15,WASP-5,5880.0,[M/H],G4 V,0.97,4.4,1
508.5,BD+49 828,4943.0,[Fe/H],K0,1.52,2.85,1
508.5,HD 2952,4844.0,[Fe/H],K0 III,2.54,2.67,1
508.528,HD 42012,5405.0,[Fe/H],K0,0.83,4.45,1
508.528,K2-237,6257.0,[Fe/H],F6 V,1.28,4.24,1
511.7063,HD 221585,5620.0,[Fe/H],G8 IV,1.19,4.05,1
527.5978,WASP-178,9360.0,[Fe/H],A1 IV-V,2.07,4.31,1
539.67534,K2-34,6149.0,[Fe/H],F,1.23,4.2,1
549.823,HAT-P-49,6820.0,[Fe/H],F,1.54,4.1,1
556.2025,HD 33844,4861.0,[Fe/H],K0 III,1.78,3.24,1
556.2025,HD 47366,4866.0,[Fe/H],K1 III,1.81,2.97,1
559.36,HD 5319,4958.0,[Fe/H],K3 IV,1.51,3.45,1
559.3808,K2-34,6132.0,[Fe/H],F9 V,1.28,4.17,1
568.91285,HIP 75092,4891.0,[Fe/H],K0 III,1.28,3.09,1
572.094,WASP-105,5070.0,[Fe/H],K2,0.89,4.2,1
578.426,HD 9446,5793.0,[Fe/H],G5 V,1.0,4.53,1
584.78,Kepler-117,6150.0,[Fe/H],F8 V,1.13,4.1,1
588.62116,HAT-P-36,5620.0,[Fe/H],G5 V,1.03,4.42,1
591.1638,HD 47366,4866.0,[Fe/H],K1 III,1.81,2.97,1
592.43512,HD 202696,5040.0,[Fe/H],K0 III-IV,1.91,3.11,1
597.5,WASP-73,6036.0,[Fe/H],F9,1.34,3.93,1
597.5204,Qatar-7,6387.0,[Fe/H],F4 V,1.41,4.2,1
603.85,HD 222155,5765.0,[Fe/H],G2 V,1.13,4.1,1
603.877,WASP-135,5675.0,[Fe/H],G5 V,0.98,4.47,1
603.9,HD 159243,6123.0,[Fe/H],G0 V,1.12,4.55,1
607.0553,WASP-46,5600.0,[Fe/H],G6 V,0.83,4.49,1
611.797,WASP-106,6055.0,[Fe/H],F9,1.19,4.23,1
616.56,HD 5319,5052.0,[Fe/H],G5 IV,1.56,3.57,1
616.58711,HIP 114933,4823.0,[Fe/H],K0 III,1.39,2.99,1
617.22586,TIC 237913194,5788.0,[Fe/H],G3,1.03,4.38,2
618.471,HAT-P-15,5568.0,[Fe/H],G5,1.01,4.38,1
622.94368,HIP 90988,4883.0,[Fe/H],K1 III,1.3,3.32,1
622.9468,HD 33844,4861.0,[Fe/H],K0 III,1.78,3.24,1
629.3034,HATS-18,5600.0,[Fe/H],G V,1.04,4.44,1
629.3034,HIP 107773,4945.0,[Fe/H],K1 III,2.42,2.6,1
632.46,HD 20868,4795.0,[Fe/H],K3/4 IV,0.78,4.22,1
634.38868,HD 202696,5040.0,[Fe/H],K0 III-IV,1.91,3.11,1
635.63,Kepler-76,6409.0,[m/H],F,1.2,4.2,1
664.237,HAT-P-23,5905.0,[Fe/H],G0,1.13,4.33,1
667.41,HD 10442,5034.0,[Fe/H],K2 IV,1.56,3.5,1
667.41,HD 159868,5558.0,[Fe/H],G5 V,1.09,3.99,1
673.79622,HD 22532,5038.0,[Fe/H],G8 III/IV,1.57,3.09,1
674.0,HD 147018,5441.0,[Fe/H],G9 V,0.93,4.42,1
677.0,HD 118203,5600.0,[Fe/H],K0,1.23,3.87,1
687.14846,NGTS-10,4600.0,[M/H],K5 V,0.7,4.59,1
689.6911,HATS-15,5311.0,[Fe/H],G9 V,0.87,4.45,1
692.8694,HD 152079,5726.0,[Fe/H],G6 V,1.1,4.36,1
699.2,Kepler-40,6510.0,[Fe/H],F5 IV,1.48,3.94,1
711.91,HD 154857,5605.0,[Fe/H],G5 V,1.72,3.82,1
712.545,WASP-71,6059.0,[Fe/H],F8,1.56,3.92,1
718.2958,CoRoT-21,6200.0,[Fe/H],F8 IV,1.29,3.7,1
727.8,HD 163607,5543.0,[Fe/H],G5 IV,1.09,4.04,1
731.00534,TOI-1518,7300.0,[Fe/H],F0,1.79,4.1,1
731.009,WASP-192,5910.0,[Fe/H],G0 V,1.09,4.24,1
734.16,POTS-1,4400.0,[Fe/H],K5 V,0.69,4.63,1
740.51,CoRoT-11,6440.0,[Fe/H],F6 V,1.27,4.22,1
756.4354,HATS-12,6408.0,[Fe/H],F,1.49,3.92,1
762.792,HD 29021,5560.0,[Fe/H],G5,0.85,4.44,1
762.792,HIP 74890,4850.0,[Fe/H],K1 III,1.74,3.1,1
762.792,Kepler-539,5820.0,[Fe/H],G2 V,1.05,4.5,1
762.8,6 Lyn,4978.0,[Fe/H],K0 IV,1.7,3.16,1
762.8,mu Leo,4538.2,[Fe/H],K2 III,1.5,2.4,1
772.29,CoRoT-17,5740.0,[Fe/H],G2 V,1.04,4.4,1
775.5052,HATS-24,6346.0,[Fe/H],F V,1.21,4.38,1
781.83,HD 60532,6095.0,[Fe/H],F6 IV,1.44,3.83,1
794.5,HD 192699,5220.0,[Fe/H],G8 IV,1.68,3.44,1
794.57102,HD 25723,4766.0,[Fe/H],K1 III,2.12,2.5,1
797.7533,HD 75898,6021.0,[Fe/H],G0 V,1.28,4.16,1
797.7533,TOI-150,6255.0,[Fe/H],F,1.35,4.13,2
807.25,HD 290327,5552.0,[Fe/H],G8 V,0.9,4.42,1
813.64072,HD 64121,5078.0,[Fe/H],G8/K0 III,1.64,3.19,1
819.97,HD 154857,5605.0,[Fe/H],G5 V,1.72,3.82,1
826.3,7 CMa,4792.0,[Fe/H],K1 III,1.52,3.25,1
826.32,HD 171238,5467.0,[Fe/H],K0 V,0.94,4.43,1
854.9627,WASP-141,5900.0,[Fe/H],F9,1.25,4.26,1
858.1,HD 173416,4683.0,[Fe/H],G8,2.0,2.48,1
861.28,HD 150706,5961.0,[Fe/H],G0 V,1.17,4.5,1
870.8542,HATS-22,4803.0,[Fe/H],K V,0.76,4.64,1
874.0,CoRoT-10,5075.0,[Fe/H],K1 V,0.89,4.65,1
875.61726,TOI-2180,5695.0,[Fe/H],G5,1.11,4.06,2
883.53,WASP-99,6180.0,[Fe/H],F8,1.48,4.12,1
889.9,CoRoT-23,5900.0,[Fe/H],G0 V,1.14,4.3,1
890.522,HD 37605,5448.0,[Fe/H],K0 V,1.0,4.51,1
899.42,HD 113337,6576.6,[Fe/H],F6 V,1.4,4.21,1
915.31,HD 169830,6299.0,[Fe/H],F8 V,1.4,4.1,1
918.5287,HD 165155,5426.0,[Fe/H],G8 V,1.02,4.49,1
921.707,CoRoT-30,5650.0,[Fe/H],G3 V,0.98,4.4,1
921.707,HD 12648,4835.8,[Fe/H],G5,1.2,2.18,1
921.707,HD 181342,5040.0,[Fe/H],K0 III,1.89,3.3,1
921.707,NGTS-9,6330.0,[Fe/H],F8 V,1.34,4.37,1
931.2419,HD 50499,6099.0,[Fe/H],G1 V,1.31,4.42,1
934.4202,HD 169830,6300.0,[Fe/H],F8 V,1.4,4.11,1
940.74,CoRoT-6,6090.0,[Fe/H],F9 V,1.05,4.43,1
947.1334,HD 12484,5920.0,[Fe/H],F8,1.01,4.65,1
950.30694,HD 109286,5694.0,[Fe/H],G4 V,0.98,4.44,1
966.16,HD 32518,4580.0,[Fe/H],K1 III,1.13,2.1,1
966.19836,HD 69123,4842.0,[Fe/H],K1 III,1.68,2.86,1
973.0,HD 67087,6330.0,[Fe/H],F8 V,1.36,4.19,1
973.0,HD 73267,5317.0,[Fe/H],G5 V,0.89,4.28,1
975.7381,HD 68402,5950.0,[Fe/H],G5 IV/V,1.12,4.47,1
985.2,HD 190984,5988.0,[Fe/H],F8 V,0.91,4.02,1
991.59,HD 17156,6079.0,[Fe/H],G0 V,1.2,4.29,1
991.62463,TOI-1431,7690.0,[Fe/H],Am C,1.9,4.15,2
994.77,Kepler-43,6050.0,[Fe/H],F8 V,1.27,4.26,1
1001.1645,HD 72659,5926.0,[Fe/H],G2 V,1.06,4.24,1
1022.14128,HATS-36,6149.0,[Fe/H],G0 V,1.22,4.4,1
1026.55,Kepler-43,6041.0,[Fe/H],G0 IV-V,1.32,4.26,1
1039.3041,HATS-16,5738.0,[Fe/H],G3 V,0.97,4.24,1
1061.5522,HD 92788,5754.0,[Fe/H],G5 V,1.06,4.41,1
1069.771,HD 37605,5448.0,[Fe/H],K0 V,1.0,4.51,1
1074.90106,KELT-20,8720.0,[Fe/H],A2 V,1.76,4.29,1
1102.82,CoRoT-18,5440.0,[Fe/H],G9 V,0.95,4.4,1
1106.0484,HD 143361,5505.0,[Fe/H],G6 V,0.95,4.42,1
1110.0,HD 1605,4757.0,[Fe/H],K1 IV,1.31,3.4,1
1121.89,HD 166724,5127.0,[Fe/H],K0 IV-V,0.81,4.43,1
1144.188,HD 86950,4805.0,[Fe/H],K1 III,1.66,2.66,1
1147.36055,TOI-558,6466.0,[Fe/H],F V,1.35,4.22,2
1166.43025,HIP 56640,4769.0,[Fe/H],K1 III,1.04,2.91,1
1166.4361,HD 92788,5744.0,[Fe/H],G6 V,1.15,4.39,1
1172.74,HD 183263,5936.0,[Fe/H],G2 IV,1.17,4.4,1
1175.971,MASCARA-1,7554.0,[Fe/H],A8,1.72,4.0,1
1195.0408,HD 35759,6060.0,[Fe/H],G0,1.15,4.24,1
1195.0408,HD 92788,5744.0,[Fe/H],G6 V,1.15,4.39,1
1233.13,HIP 67851,4805.0,[Fe/H],K0 III,1.3,3.04,1
1233.1804,HIP 14810,5485.0,[Fe/H],G5 V,0.99,4.22,1
1242.7153,KELT-21,7598.0,[Fe/H],A8 V,1.46,4.17,1
1249.0719,HD 76920,4698.0,[Fe/H],K1 III,1.17,2.94,1
1258.60049,BD+63 1405,5000.0,[Fe/H],K0,0.82,4.2,1
1271.3,GJ 504,6234.0,[Fe/H],G0 V,1.22,4.6,1
1271.31363,2MASS J04372171+2651014,3100.0,[Fe/H],M V,0.17,4.5,1
1271.32,HD 96127,4152.0,[Fe/H],K2 III,0.91,2.06,1
1274.44,WTS-1,6250.0,[Fe/H],F6 V,1.2,4.4,1
1283.98,HD 169830,6299.0,[Fe/H],F8 V,1.4,4.1,1
1287.16,HD 204313,5767.0,[Fe/H],G5 V,1.04,4.37,1
1291.289,HAT-P-21,5588.0,[Fe/H],G3,0.95,4.33,1
1334.87931,KELT-24,6415.0,[Fe/H],F7,1.3,4.18,1
1334.886,BD+20 274,4296.0,[Fe/H],K5 III,0.8,1.99,1
1338.01,HD 11506,6055.0,[Fe/H],G0 V,1.24,4.3,1
1341.2426,WASP-186,6361.0,[Fe/H],F,1.22,4.19,1
1347.54,CoRoT-20,5880.0,[Fe/H],G2 V,1.14,4.2,1
1360.0,HD 204313,5776.0,[Fe/H],G5 V,1.02,4.38,1
1369.8473,Qatar-3,6007.0,[Fe/H],G0 V,1.15,4.29,1
1373.01872,17 Sco,4157.0,[Fe/H],K3 III,1.22,1.7,1
1373.0256,Qatar-5,5747.0,[Fe/H],G2 V,1.13,4.43,1
1398.452,XO-6,6720.0,[Fe/H],F5,1.47,4.04,1
1423.8784,HD 25015,5160.0,[Fe/H],K1 V,0.86,4.4,1
1430.2,HD 120084,4892.0,[Fe/H],G7 III,2.39,2.71,1
1433.4133,HD 111998,6557.0,[Fe/H],F5 V,1.18,4.19,1
1455.6614,gam Lib,4822.0,[Fe/H],K0 III,1.47,2.47,1
1462.0,HD 17092,4650.0,[Fe/H],K0 III,2.3,3.0,1
1462.018,HD 95872,5312.0,[Fe/H],K0 V,0.95,4.43,1
1500.0,OGLE-2018-BLG-0740L,5912.0,[Fe/H],G V,1.0,4.5,1
1503.3359,HD 154672,5655.0,[Fe/H],G3 IV,1.08,4.15,1
1506.45,HD 11506,6058.0,[Fe/H],G0 V,1.19,4.32,1
1516.0491,HD 16175,6022.0,[Fe/H],G0,1.34,4.21,1
1525.5,14 And,4813.0,[Fe/H],K0 III,2.2,2.63,1
1525.57635,HD 27969,5966.0,[Fe/H],G0 V,1.16,4.12,1
1540.0,HD 67087,6330.0,[Fe/H],F8 V,1.36,4.19,1
1541.4755,WASP-120,6450.0,[Fe/H],F5,1.39,4.04,1
1544.64606,HD 80869,5837.0,[Fe/H],G1 V,1.08,4.18,1
1589.15,HD 112640,4155.0,[Fe/H],K0 III,1.8,1.7,1
1592.26,HD 95127,4218.0,[Fe/H],K0,1.2,1.78,1
1595.4986,TOI-2109,6540.0,[Fe/H],F,1.45,4.14,2
1620.9,BD-17 63,4714.0,[Fe/H],K5 V,0.74,4.26,1
1630.4,HD 13908,6255.0,[Fe/H],F8 V,1.29,4.11,1
1655.82,HD 240210,4297.0,[Fe/H],K3 III,0.82,2.31,1
1684.4,81 Cet,4785.0,[Fe/H],G5 III,2.4,2.35,1
1684.4,HD 240237,4361.0,[Fe/H],K2 III,1.69,1.66,1
1732.1735,HD 72892,5688.0,[Fe/H],G5 V,1.02,4.27,1
1760.76937,HD 211403,6273.0,[Fe/H],F7 V,1.2,4.3,1
1875.1,HD 102272,4908.0,[Fe/H],K0,1.9,3.07,1
1875.197,WASP-89,5130.0,[Fe/H],K3,0.92,4.51,1
1897.4451,HD 224538,6097.0,[Fe/H],F9 IV/V,1.34,4.19,1
1900.0,HD 70573,5737.0,[Fe/H],G1-1.5 V,1.0,4.59,1
